Date,Price,Year,Month,Day,MeanWeek,EMA_7,EMA_30,Time
2013-03-05,130.18,2013,3,5,132.2757142857143,131.30994345721717,129.58661945093905,109.4813534114148
2013-03-06,122.58,2013,3,6,131.98285714285714,129.1274575929129,129.13457948636236,95.5419681218077
2013-03-07,116.57,2013,3,7,130.67000000000002,125.98809319468467,128.32396145498416,80.6168473599819
2013-03-09,112.71,2013,3,9,128.42142857142855,122.6685698960135,127.3166091030497,50.433169760078634
2013-03-10,109.52,2013,3,10,125.58714285714287,119.38142742201012,126.16844077382069,36.49378447047164
2013-03-12,104.41,2013,3,12,122.30142857142856,115.63857056650758,124.76467040131614,13.93938528960707
2013-03-13,133.1,2013,3,13,118.23285714285714,120.00392792488068,125.30243360123123,6.310106870568354
2013-03-14,131.97,2013,3,14,118.43857142857142,122.99544594366051,125.73259917534536,1.5949534979663815
2013-03-15,131.25,2013,3,15,118.69428571428571,125.05908445774539,126.08856051887147,0.0
2013-03-18,129.0,2013,3,18,119.93285714285715,126.04431334330904,126.27639532410558,13.939385289607053
2013-03-19,128.52,2013,3,19,121.70857142857143,126.66323500748177,126.42114401287297,24.14935267883086
2013-03-20,128.55,2013,3,20,123.96714285714286,127.13492625561133,126.55848956042956,36.49378447047155
2013-03-21,128.93,2013,3,21,126.68571428571428,127.5836946917085,126.71149023395024,50.433169760078634
2013-03-22,129.3,2013,3,22,130.18857142857144,128.0127710187814,126.87849086401798,65.35829052190441
2013-03-25,129.71,2013,3,25,129.6457142857143,128.43707826408604,127.06116887279103,109.48135341141483
2013-03-26,130.5,2013,3,26,129.32285714285715,128.95280869806453,127.2830289455142,121.82578520305547
2013-03-27,129.43,2013,3,27,129.21571428571428,129.0721065235484,127.42154320709393,132.03575259227924
2013-03-28,130.19,2013,3,28,129.27714285714288,129.35157989266128,127.6001533227653,139.66503101131798
2013-04-01,133.18,2013,4,1,129.5157142857143,130.30868491949596,127.960143430974,127.2279031235797
2013-04-02,133.29,2013,4,2,130.17714285714285,131.05401368962197,128.30400514510472,115.88858556510975
2013-04-03,135.3,2013,4,3,130.8,132.11551026721648,128.75535965187217,102.67428771824594
2013-04-04,131.58,2013,4,4,131.65714285714284,131.98163270041238,128.93759451304172,88.16253780813246
2013-04-06,121.85,2013,4,6,131.92428571428573,129.44872452530927,128.48033035091,57.81260007375393
2013-04-07,116.67,2013,4,7,130.68857142857144,126.25404339398196,127.71837355407712,43.30085016364044
2013-04-09,112.35,2013,4,9,128.8657142857143,122.77803254548647,126.72686558284634,18.747234758306696
2013-04-10,109.52,2013,4,10,126.31714285714285,119.46352440911485,125.61674522266271,9.77848007761832
2013-04-11,99.46,2013,4,11,122.93714285714285,114.46264330683614,123.92921327281351,3.5722658911174108
2013-04-12,103.72,2013,4,12,118.10428571428572,111.77698248012712,122.62539306166425,0.3998335394738453
2013-04-15,128.01,2013,4,15,113.59285714285716,115.83523686009534,122.97278705768593,9.77848007761828
2013-04-16,128.67,2013,4,16,113.08285714285714,119.0439276450715,123.34034918299652,18.747234758306696
2013-04-17,128.97,2013,4,17,114.05714285714285,121.52544573380362,123.70355246151288,30.08655231677655
2013-04-18,131.47,2013,4,18,115.81428571428572,124.01158430035272,124.20461359302818,43.30085016364041
2013-04-19,133.0,2013,4,19,118.54571428571428,126.25868822526454,124.77205787734896,57.81260007375387
2013-04-22,132.84,2013,4,22,121.89999999999999,127.9040161689484,125.29257027235872,102.6742877182459
2013-04-23,128.57,2013,4,23,126.66857142857143,128.07051212671132,125.50401735156139,115.88858556510976
2013-04-24,128.85,2013,4,24,130.21857142857144,128.26538409503348,125.71988719984776,127.22790312357962
2013-04-25,128.19,2013,4,25,130.3385714285714,128.2465380712751,125.87924931598661,136.19665780426806
2013-04-26,126.76,2013,4,26,130.27,127.87490355345632,125.93607194076168,142.40287199076894
2013-04-29,126.42,2013,4,29,129.95428571428573,127.51117766509225,125.96729310587384,142.40287199076894
2013-04-30,126.68,2013,4,30,129.23285714285714,127.30338324881919,126.01327419581746,136.19665780426809
2013-05-02,133.42,2013,5,2,128.33,128.8325374366144,126.49112747350667,80.6168473599819
2013-05-03,130.89,2013,5,3,128.41285714285715,129.34690307746078,126.77492570102237,65.35829052190446
2013-05-04,131.83,2013,5,4,128.7442857142857,129.9676773080956,127.10105952676287,50.433169760078634
2013-05-06,121.22,2013,5,6,129.17000000000002,127.7807579810717,126.72163633148784,24.1493526788309
2013-05-07,116.5,2013,5,7,128.17428571428573,124.96056848580378,126.06217592300476,13.93938528960707
2013-05-08,118.06,2013,5,8,126.70857142857143,123.23542636435283,125.54590650861735,6.310106870568354
2013-05-09,111.93,2013,5,9,125.51428571428572,120.40906977326462,124.66746092741623,1.5949534979663815
2013-05-11,99.22,2013,5,11,123.40714285714284,115.11180232994846,123.0256892546797,1.5949534979663815
2013-05-12,101.75,2013,5,12,118.52142857142857,111.77135174746135,121.65306414147457,6.310106870568345
2013-05-13,132.93,2013,5,13,114.35857142857142,117.06101381059601,122.38060839041171,13.939385289607094
2013-05-14,131.98,2013,5,14,114.51571428571428,120.790760357947,122.99992397812709,24.14935267883086
2013-05-15,129.82,2013,5,15,116.05285714285716,123.04807026846025,123.43992888276405,36.49378447047161
2013-05-16,128.95,2013,5,16,117.9557142857143,124.52355270134518,123.79541734194056,50.433169760078634
2013-05-17,128.01,2013,5,17,119.51142857142857,125.39516452600888,124.06732590052505,65.35829052190448
2013-05-20,126.75,2013,5,20,121.80857142857141,125.73387339450666,124.24040164887828,109.48135341141472
2013-05-21,125.52,2013,5,21,125.74142857142859,125.68040504588,124.32295638120871,121.82578520305547
2013-05-22,123.33,2013,5,22,129.13714285714286,125.09280378441,124.25889467919525,132.03575259227924
2013-05-23,123.42,2013,5,23,127.76571428571427,124.67460283830751,124.20477244182783,139.66503101131798
2013-05-24,121.38,2013,5,24,126.54285714285713,123.85095212873063,124.0225290584841,144.38018438391998
2013-05-27,121.47,2013,5,27,125.33714285714287,123.25571409654796,123.85784976438836,139.66503101131798
2013-05-28,120.37,2013,5,28,124.26857142857143,122.53428557241097,123.63282719894396,132.0357525922793
2013-05-29,120.64,2013,5,29,123.17714285714284,122.06071417930822,123.43974157320564,121.8257852030555
2013-05-30,119.46,2013,5,30,122.30428571428573,121.41053563448116,123.18298405235366,109.48135341141474
2013-05-31,121.26,2013,5,31,121.43857142857142,121.37290172586087,123.05892056510505,95.54196812180761
